VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,FullyVaccinated,thirddosedaily,thirddosecumulative,firstboosterdailydose,additionaldosecumulative,fourthdailydose,secondadditionaldosecumulative,fullyvaccinatedcumulative
12/16/2020 10:00,Baltimore,132,143,1,3,,0,1,,0,,0,,0,3
12/16/2020 10:00,Baltimore City,159,168,1,2,,0,1,,0,,0,,0,2
12/16/2020 10:00,Calvert,4,6,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Caroline,1,1,1,1,,0,1,,0,,0,,0,1
12/16/2020 10:00,Carroll,11,13,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Cecil,3,4,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Charles,14,15,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Dorchester,6,9,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Frederick,8,19,2,3,,0,2,,0,,0,,0,3
12/16/2020 10:00,Garrett,1,1,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Harford,48,48,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Howard,71,82,4,4,,0,4,,0,,0,,0,4
12/16/2020 10:00,Kent,1,1,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Montgomery,253,302,3,4,,0,3,,0,,0,,0,4
12/16/2020 10:00,Prince Georges,92,107,,1,,0,,,0,,0,,0,1
12/16/2020 10:00,Queen Annes,8,10,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,St. Marys,4,4,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Talbot,7,8,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Unknown,60,68,1,1,,0,1,,0,,0,,0,1
12/16/2020 10:00,Washington,6,8,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Wicomico,1,2,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Worcester,2,6,,0,,0,,,0,,0,,0,0
12/17/2020 10:00,Allegany,2,5,,0,,0,,,0,,0,,0,0
12/17/2020 10:00,Anne Arundel,132,212,1,2,,0,1,,0,,0,,0,2
12/17/2020 10:00,Baltimore,215,358,1,4,,0,1,,0,,0,,0,4
12/17/2020 10:00,Baltimore City,232,400,,2,,0,,,0,,0,,0,2
12/17/2020 10:00,Calvert,25,31,1,1,,0,1,,0,,0,,0,1
12/17/2020 10:00,Caroline,12,13,,1,,0,,,0,,0,,0,1
12/17/2020 10:00,Carroll,22,35,1,1,,0,1,,0,,0,,0,1
